,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,159928,汇添富中证主要消费ETF,HTFZZZYXFETF,33.3436,,0,2017-04-05,1.6216,1.6216,2018-03-30,2.1623,2.1623,2013-08-23,,0.05%,,,,
1,512600,嘉实中证主要消费ETF,JSZZZYXFETF,31.2463,,0,2017-04-05,1.6674,1.6674,2018-03-30,2.1884,2.1884,2014-06-13,,,,,,
2,510630,华夏消费ETF,HXXFETF,29.1237,,0,2017-04-05,1.746,1.746,2018-03-30,2.2545,2.2545,2013-03-28,,,,,,
3,512010,易方达沪深300医药ETF,YFDHS300YYETF,28.7464,,0,2017-04-05,1.4287,1.4287,2018-03-30,1.8394,1.8394,2013-09-23,,0.05%,,,,
4,159905,工银深证红利ETF,GYSZHLETF,27.7397,,0,2017-04-05,1.2985,1.2985,2018-03-30,1.6587,1.6587,2010-11-05,,,,,,
5,510660,华夏医药ETF,HXYYETF,25.7194,,0,2017-04-05,1.6194,1.6194,2018-03-30,2.0359,2.0359,2013-03-28,,,,,,
6,159916,深F60ETF,SF60ETF,25.2287,,0,2017-04-05,2.9403,1.602,2018-03-30,3.6821,2.0061,2011-09-08,,,,,,
7,510150,招商上证消费80ETF,ZSSZXF80ETF,21.2761,,0,2017-04-05,4.169,1.374,2018-03-30,5.056,1.666,2010-12-08,,,,,,
8,512120,华安中证细分医药ETF,HAZZXFYYETF,20.7949,,0,2017-04-05,1.409,1.409,2018-03-30,1.702,1.702,2013-12-04,,0.05%,,,,
9,510680,万家上证50ETF,WJSZ50ETF,20.4729,,0,2017-04-05,1.8483,1.8483,2018-03-30,2.2267,2.2267,2013-10-31,,,,,,
10,510710,博时上证50ETF,BSSZ50ETF,19.4842,,0,2017-04-05,2.404,0.7432,2018-03-30,2.8724,0.888,2015-05-27,,0.04%,,,,
11,159923,大成中证100ETF,DCZZ100ETF,19.4506,,0,2017-04-05,1.347,1.347,2018-03-30,1.609,1.609,2013-02-07,,,,,,
12,159913,交银深证300价值ETF,JYSZ300JZETF,17.8825,,0,2017-04-05,1.549,1.549,2018-03-30,1.826,1.826,2011-09-22,,,,,,
13,159910,嘉实深证基本面120ETF,JSSZJBM120ETF,17.7971,,0,2017-04-05,1.498,1.498,2018-03-30,1.7646,1.7646,2011-08-01,,,,,,
14,510090,建信责任ETF,JXZRETF,17.6364,,0,2017-04-05,1.3682,1.6322,2018-03-30,1.6095,1.9201,2010-05-28,,,,,,
15,510650,上证金融地产发起式ETF,SZJRDCFQSETF,17.4590,,0,2017-04-05,1.4892,1.4892,2018-03-30,1.7492,1.7492,2013-03-28,,,,,,
16,510030,华宝上证180价值ETF,HBSZ180JZETF,17.1422,,0,2017-04-05,4.206,1.44,2018-03-30,4.927,1.687,2010-04-23,,,,,,
17,159929,汇添富中证医药卫生ETF,HTFZZYYWSETF,16.6279,,0,2017-04-05,1.4632,1.4632,2018-03-30,1.7065,1.7065,2013-08-23,,0.05%,,,,
18,510050,华夏上证50ETF,HXSZ50ETF,16.1397,0.054,1,2017-04-05,2.383,3.228,2018-03-30,2.717,3.688,2004-12-30,,,,,,
19,512610,嘉实中证医药卫生ETF,JSZZYYWSETF,15.9185,,0,2017-04-05,1.4637,1.4637,2018-03-30,1.6967,1.6967,2014-06-13,,,,,,
20,159901,易方达深证100ETF,YFDSZ100ETF,14.4257,,0,2017-04-05,4.2348,4.1348,2018-03-30,4.8457,4.7148,2006-03-24,,0.05%,,,,
21,159933,国投瑞银金融地产ETF,GTRYJRDCETF,13.8396,,0,2017-04-05,1.6395,1.6395,2018-03-30,1.8664,1.8664,2013-09-17,,,,,,
22,159925,南方沪深300ETF,NFHS300ETF,13.5295,,0,2017-04-05,1.4413,1.2636,2018-03-30,1.6363,1.4346,2013-02-18,,,,,,
23,510230,国泰上证180金融ETF,GTSZ180JRETF,13.4945,,0,2017-04-05,5.2985,1.5048,2018-03-30,6.0135,1.7079,2011-03-31,,,,,,
24,510110,海富通上证周期ETF,HFTSZZQETF,13.3075,,0,2017-04-05,3.096,1.242,2018-03-30,3.508,1.408,2010-09-19,,,,,,
25,159908,博时创业板ETF,BSCYBETF,13.2881,,0,2017-04-05,1.3117,1.3117,2018-03-30,1.486,1.486,2011-06-10,,0.05%,,,,
26,510310,易方达沪深300发起式ETF,YFDHS300FQSETF,12.9675,,0,2017-04-05,1.4652,1.4652,2018-03-30,1.6552,1.6552,2013-03-06,,0.05%,,,,
27,510360,广发沪深300ETF,GFHS300ETF,12.9348,,0,2017-04-05,1.0839,1.0839,2018-03-30,1.2241,1.2241,2015-08-20,,,,,,
28,510330,华夏沪深300ETF,HXHS300ETF,12.6969,,0,2017-04-05,3.7395,1.5634,2018-03-30,4.2143,1.7578,2012-12-25,,,,,,
29,159919,嘉实沪深300ETF,JSHS300ETF,12.5642,,0,2017-04-05,3.7774,1.4438,2018-03-30,4.252,1.6252,2012-05-07,,,,,,
30,510300,华泰柏瑞沪深300ETF,HTBRHS300ETF,12.4877,0.046,1,2017-04-05,3.5026,1.3816,2018-03-30,3.8991,1.5458,2012-05-04,,,,,,
31,159909,招商深证TMT50ETF,ZSSZTMT50ETF,12.3099,,0,2017-04-05,4.801,1.476,2018-03-30,5.392,1.658,2011-06-27,,,,,,
32,159906,大成深证成长40ETF,DCSZCZ40ETF,12.0341,,0,2017-04-05,0.939,0.939,2018-03-30,1.052,1.052,2010-12-21,,,,,,
33,159940,广发中证全指金融地产ETF,GFZZQZJRDCETF,11.8710,,0,2017-04-05,0.8247,0.8247,2018-03-30,0.9226,0.9226,2015-03-23,,,,,,
34,512070,易方达沪深300非银ETF,YFDHS300FYETF,11.0874,,0,2017-04-05,1.6902,1.6902,2018-03-30,1.8776,1.8776,2014-06-26,,0.05%,,,,
35,510010,交银上证180公司治理ETF,JYSZ180GSZLETF,11.0345,,0,2017-04-05,1.015,1.13,2018-03-30,1.127,1.255,2009-09-25,,,,,,
36,510180,华安上证180ETF,HASZ180ETF,10.8124,0.131,1,2017-04-05,3.0988,3.1328,2018-03-30,3.3103,3.4519,2006-04-13,,,,,,
37,159938,广发中证全指医药卫生ETF,GFZZQZYYWSETF,10.6230,,0,2017-04-05,1.3226,1.3226,2018-03-30,1.4631,1.4631,2014-12-01,,,,,,
38,512640,嘉实中证金融地产ETF,JSZZJRDCETF,9.9180,,0,2017-04-05,1.6707,1.6707,2018-03-30,1.8364,1.8364,2014-06-20,,,,,,
39,159931,汇添富中证金融地产ETF,HTFZZJRDCETF,9.3311,,0,2017-04-05,1.48,1.48,2018-03-30,1.6181,1.6181,2013-08-23,,0.05%,,,,
40,159902,华夏中小企业100ETF,HXZXQY100ETF,9.0550,,0,2017-04-05,3.291,3.411,2018-03-30,3.589,3.709,2006-06-08,,1.50%,,,,
41,510020,博时上证超大盘ETF,BSSZCDPETF,8.8911,,0,2017-04-05,2.4519,0.9043,2018-03-30,2.6699,0.9847,2009-12-29,,,,,,
42,510880,华泰柏瑞上证红利ETF,HTBRSZHLETF,8.4515,0.109,1,2017-04-05,2.7853,2.1161,2018-03-30,2.9231,2.2778,2006-11-17,,,,,,
43,159958,工银瑞信创业板ETF,GYRXCYBETF,8.22,,0,2017-12-25,1,1,2018-03-30,1.0822,1.0822,2017-12-25,,,,,,
44,510410,博时上证自然资源ETF,BSSZZRZYETF,8.2120,,0,2017-04-05,0.7075,0.7075,2018-03-30,0.7656,0.7656,2012-04-10,,,,,,
45,159957,华夏创业板ETF,HXCYBETF,8.1003,,0,2017-12-08,1.0012,1.0012,2018-03-30,1.0823,1.0823,2017-12-08,,0.05%,,,,
46,510060,工银上证央企ETF,GYSZYQETF,7.5343,,0,2017-04-05,1.6644,1.0646,2018-03-30,1.7898,1.1448,2009-08-26,,,,,,
47,512990,华夏MSCIA股国际通ETF,HXMSCIAGGJTETF,7.4460,,0,2017-04-05,1.0556,1.0556,2018-03-30,1.1342,1.1342,2015-02-12,,0.05%,,,,
48,159952,广发创业板ETF,GFCYBETF,7.24,,0,2017-04-25,1,1,2018-03-30,1.0724,1.0724,2017-04-25,,0.05%,,,,
49,510170,国联安上证商品ETF,GLASZSPETF,6.8795,,0,2017-04-05,1.817,0.564,2018-03-30,1.942,0.602,2010-11-26,,,,,,
50,510190,华安上证龙头ETF,HASZLTETF,6.5685,,0,2017-04-05,3.395,1.301,2018-03-30,3.618,1.386,2010-11-18,,,,,,
51,159956,建信创业板ETF,JXCYBETF,6.3994,,0,2018-02-06,1.0001,1.0001,2018-03-30,1.0641,1.0641,2018-02-06,,,,,,
