,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,162703,广发小盘成长混合(LOF)A,GFXPCZHHLOFA,60.0574,,0,2019-04-01,1.4641,3.8021,2020-04-01,2.3434,4.6814,2005-02-02,1,0.15%,1,0.15%,1,1.50%
1,161903,万家行业优选混合(LOF),WJHYYXHHLOF,54.9765,0.146,1,2019-04-01,0.9653,2.9677,2020-04-01,1.3464,3.9028,2005-07-15,1,0.15%,1,0.15%,1,1.50%
2,161810,银华内需精选混合(LOF),YHNXJXHHLOF,50.2110,,0,2019-04-01,1.659,1.577,2020-04-01,2.492,2.369,2009-07-01,1,0.15%,1,0.15%,1,1.50%
3,163001,长信医疗保健混合(LOF)A,CXYLBJHHLOFA,36.9610,,0,2019-04-01,0.974,1.514,2020-04-01,1.334,1.874,2010-03-26,1,0.15%,1,0.15%,1,1.50%
4,161035,富国中证医药主题指数增强A,FGZZYYZTZSZQA,35.2436,,0,2019-04-01,1.047,1.047,2020-04-01,1.416,1.416,2016-11-11,1,0.12%,1,0.12%,1,1.20%
5,161219,国投瑞银新兴产业混合,GTRYXXCYHH,35.1041,,0,2019-04-01,1.393,2.447,2020-04-01,1.882,2.936,2011-12-13,1,0.15%,1,0.15%,1,1.50%
6,161726,招商国证生物医药指数(LOF)A,ZSGZSWYYZSLOFA,34.2434,,0,2019-04-01,1.0978,0.7474,2020-04-01,0.9975,0.9847,2015-05-27,1,0.10%,1,0.10%,1,1.00%
7,501046,财通多策略福鑫定开混合,CTDCLFXDKHH,30.3848,,0,2019-04-01,1.1904,1.1904,2020-04-01,1.5521,1.5521,2017-10-23,6,0.15%,1,0.15%,1,1.50%
8,160106,南方高增长混合(LOF),NFGZZHHLOF,30.3629,0.02,1,2019-04-01,1.0496,3.5756,2020-04-01,1.3481,3.8941,2005-07-13,1,0.15%,1,0.15%,1,1.50%
9,160133,南方天元新产业股票(LOF),NFTYXCYGPLOF,29.6600,,0,2019-04-01,2.441,2.441,2020-04-01,3.165,3.165,2014-07-03,1,0.15%,1,0.15%,1,1.50%
10,161033,富国中证智能汽车(LOF)A,FGZZZNQCLOFA,29.6066,,0,2019-04-01,0.966,0.966,2020-04-01,1.252,1.252,2016-02-16,1,0.12%,1,0.12%,1,1.20%
11,166006,中欧行业成长混合(LOF)A,ZOHYCZHHLOFA,28.9586,,0,2019-04-01,1.1513,1.5176,2020-04-01,1.4847,1.851,2009-12-30,1,0.15%,1,0.15%,1,1.50%
12,162607,景顺长城资源垄断混合,JSCCZYLDHH,28.8929,0.082,1,2019-04-01,0.494,3.04,2020-04-01,0.55,3.178,2006-01-26,1,0.15%,1,0.15%,1,1.50%
13,501009,汇添富中证生物科技指数A,HTFZZSWKJZSA,28.3811,,0,2019-04-01,1.186,1.186,2020-04-01,1.5226,1.5226,2016-12-22,1,0.10%,1,0.10%,1,1.00%
