,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,000179,广发美国房地产指数,GFMGFDCZS,26.9584,0.100,2,2018-04-02,1.01,1.28,2019-04-01,1.174,1.544,2013-08-09,1,0.13%,1,0.13%,1,1.30%
1,160140,南方道琼斯美国精选A,NFDQSMGJXA,25.2858,,0,2018-04-02,0.8748,0.8748,2019-04-01,1.096,1.096,2017-10-26,1,0.12%,1,0.12%,1,1.20%
2,161128,易标普信息科技人民币A,YBPXXKJRMBA,25.1416,,0,2018-04-02,1.1654,1.1654,2019-04-01,1.4584,1.4584,2016-12-13,1,0.12%,1,0.12%,1,1.20%
3,160141,南方道琼斯美国精选C,NFDQSMGJXC,24.7396,,0,2018-04-02,0.8735,0.8735,2019-04-01,1.0896,1.0896,2017-10-26,1,0.00%,,,,
4,513100,国泰纳斯达克100ETF,GTNSDK100ETF,24.2539,,0,2018-04-02,2.111,2.111,2019-04-01,2.623,2.623,2013-04-25,,,,,,
5,000834,大成纳斯达克100,DCNSDK100,24.1022,,0,2018-04-02,1.448,1.448,2019-04-01,1.797,1.797,2014-11-13,1,0.12%,1,0.12%,1,1.20%
6,160213,国泰纳斯达克100指数,GTNSDK100ZS,24.0849,,0,2018-04-02,2.732,2.832,2019-04-01,3.39,3.49,2010-04-29,1,0.15%,1,0.15%,1,1.50%
7,162415,华宝标普美国消费人民币A,HBBPMGXFRMBA,23.8931,,0,2018-04-02,1.197,1.197,2019-04-01,1.483,1.483,2016-03-18,1,0.12%,1,0.12%,1,1.20%
8,040046,华安纳斯达克100指数(QDII)A,HANSDK100ZSQDIIA,23.6624,,0,2018-04-02,1.813,1.813,2019-04-01,2.242,2.242,2013-08-02,1,0.12%,1,0.12%,1,1.20%
9,159941,广发纳斯达克100ETF,GFNSDK100ETF,23.6493,,0,2018-04-02,1.3252,1.3252,2019-04-01,1.6386,1.6386,2015-06-10,,,,,,
10,161130,易方达纳斯达克100人民币A,YFDNSDK100RMBA,23.3908,,0,2018-04-02,1.0021,1.0021,2019-04-01,1.2365,1.2365,2017-06-23,1,0.12%,1,0.12%,1,1.20%
11,270042,广发纳指100ETF联接人民币(QDII)A,GFNZ100ETFLJRMBQDIIA,23.1581,,0,2018-04-02,1.846,2.116,2019-04-01,2.2735,2.5435,2012-08-15,1,0.13%,1,0.13%,1,1.30%
12,320017,诺安全球收益不动产,NAQQSYBDC,20.4688,,0,2018-04-02,1.28,1.28,2019-04-01,1.542,1.542,2011-09-23,1,0.15%,1,0.15%,1,1.50%
13,070031,嘉实全球房地产(QDII),JSQQFDCQDII,20.0324,0.001,1,2018-04-02,1.004,1.235,2019-04-01,1.204,1.436,2012-07-24,1,0.15%,1,0.15%,1,1.50%
14,161126,易方达标普医疗保健人民币A,YFDBPYLBJRMBA,19.6189,,0,2018-04-02,1.0444,1.0444,2019-04-01,1.2493,1.2493,2016-11-28,1,0.12%,1,0.12%,1,1.20%
15,513500,博时标普500ETF,BSBP500ETF,19.4991,,0,2018-04-02,1.5052,1.5052,2019-04-01,1.7987,1.7987,2013-12-05,,,,,,
16,161125,易方达标普500指数人民币A,YFDBP500ZSRMBA,19.2708,,0,2018-04-02,1.0285,1.0285,2019-04-01,1.2267,1.2267,2016-12-02,1,0.12%,1,0.12%,1,1.20%
17,005613,上投富时发达市场REITs,STFSFDSCREITS,18.98,,0,2018-04-26,1,1,2019-04-01,1.1898,1.1898,2018-04-26,1,0.10%,1,0.10%,1,1.00%
18,110011,易方达优质精选混合(QDII),YFDYZJXHHQDII,18.9558,,0,2018-04-02,3.8136,4.2036,2019-04-01,4.5365,4.9265,2008-06-19,1,0.15%,1,0.15%,1,1.50%
19,000180,广发美国房地产指数现汇,GFMGFDCZSXH,18.5985,0.014912,2,2018-04-02,0.1609,0.2026,2019-04-01,0.1747,0.2313,2013-08-09,,1.30%,,,,
20,050025,博时标普500ETF联接A,BSBP500ETFLJA,18.1306,,0,2018-04-02,1.8466,1.9056,2019-04-01,2.1814,2.2404,2012-06-14,1,0.12%,1,0.12%,1,1.20%
21,000043,嘉实美国成长股票人民币,JSMGCZGPRMB,17.5659,,0,2018-04-02,1.594,1.594,2019-04-01,1.874,1.874,2013-06-14,1,0.15%,1,0.15%,1,1.50%
22,006310,汇添富全球消费混合美元现汇,HTFQQXFHHMYXH,17.46,,0,2018-09-21,1,1,2019-04-01,1.1746,1.1746,2018-09-21,,1.60%,,,,
23,003721,易标普信息科技美元汇A,YBPXXKJMYHA,16.8551,,0,2018-04-02,0.1857,0.1857,2019-04-01,0.217,0.217,2016-12-13,,1.20%,,,,
24,096001,大成标普500等权重指数,DCBP500DQZZS,16.4523,0.0577,1,2018-04-02,1.578,1.736,2019-04-01,1.774,1.99,2011-03-23,1,0.15%,1,0.15%,1,1.50%
25,002423,华宝标普美国消费美元,HBBPMGXFMY,15.7315,,0,2018-04-02,0.1907,0.1907,2019-04-01,0.2207,0.2207,2016-03-18,,1.20%,,,,
26,519981,长信标普100等权重指数人民币,CXBP100DQZZSRMB,15.6432,0.121,1,2018-04-02,1.127,1.523,2019-04-01,1.18,1.697,2011-03-30,1,0.14%,1,0.14%,1,1.40%
27,006308,汇添富全球消费混合人民币A,HTFQQXFHHRMBA,15.51,,0,2018-09-21,1,1,2019-04-01,1.1551,1.1551,2018-09-21,1,0.16%,1,0.16%,1,1.60%
28,040048,华安纳斯达克100指数现汇,HANSDK100ZSXH,15.5071,,0,2018-04-02,0.2889,0.2889,2019-04-01,0.3337,0.3337,2013-08-02,,1.20%,,,,
29,040047,华安纳斯达克100指数现钞,HANSDK100ZSXC,15.5071,,0,2018-04-02,0.2889,0.2889,2019-04-01,0.3337,0.3337,2013-08-02,,1.20%,,,,
30,003722,易方达纳斯达克100美元汇A,YFDNSDK100MYHA,15.2160,,0,2018-04-02,0.1597,0.1597,2019-04-01,0.184,0.184,2017-06-23,,1.20%,,,,
31,000055,广发纳指100ETF联接美元(QDII)A,GFNZ100ETFLJMYQDIIA,15.0629,,0,2018-04-02,0.2941,0.334,2019-04-01,0.3384,0.3783,2015-01-16,,1.30%,,,,
32,006309,汇添富全球消费混合人民币C,HTFQQXFHHRMBC,14.72,,0,2018-09-21,1,1,2019-04-01,1.1472,1.1472,2018-09-21,1,0.00%,,,,
