,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,010837,格林泓景债券A,GLHJZQA,136.43,,0,2021-01-27,1,1,2021-04-01,2.3643,2.3643,2021-01-27,4,0.08%,1,0.08%,1,0.80%
1,010838,格林泓景债券C,GLHJZQC,131.44,,0,2021-01-27,1,1,2021-04-01,2.3144,2.3144,2021-01-27,4,0.00%,,,,
2,009763,惠升和悦债券A,HSHYZQA,67.1865,0.4892,1,2020-07-07,1,1,2021-04-01,1.1705,1.6597,2020-07-07,1,0.08%,1,0.08%,1,0.80%
3,007555,中航瑞明纯债A,ZHRMCZA,62.4738,,0,2020-04-10,1.0001,1.0001,2021-04-01,1.6249,1.6249,2020-04-10,1,0.06%,1,0.06%,1,0.60%
4,009764,惠升和悦债券C,HSHYZQC,55.4851,0.4558,1,2020-07-07,1,1,2021-04-01,1.0886,1.5444,2020-07-07,1,0.00%,,,,
5,007229,华安中债7-10年国开债C,HAZZ710NGKZC,54.1026,0.12,1,2020-04-01,1.1362,1.1362,2021-04-01,1.5641,1.6841,2019-11-13,,0.00%,,,,
6,007556,中航瑞明纯债C,ZHRMCZC,49.515,,0,2020-04-10,1.0001,1.0001,2021-04-01,1.4953,1.4953,2020-04-10,1,0.00%,,,,
7,006030,南方昌元转债A,NFCYZZA,49.3361,,0,2020-04-01,0.9565,0.9565,2021-04-01,1.4284,1.4284,2018-12-25,1,0.08%,1,0.08%,1,0.80%
8,001045,华夏可转债增强债券A,HXKZZZQZQA,49.0376,,0,2020-04-01,1.091,1.091,2021-04-01,1.626,1.626,2016-09-27,1,0.08%,1,0.08%,1,0.80%
9,006031,南方昌元C,NFCYC,48.6373,,0,2020-04-01,0.9503,0.9503,2021-04-01,1.4125,1.4125,2018-12-25,1,0.00%,,,,
10,001296,长城悦享增利债券A,CCYXZLZQA,45.5179,,0,2020-04-01,1.0899,1.0899,2021-04-01,1.586,1.586,2017-04-26,1,0.08%,1,0.08%,1,0.80%
11,009083,华夏鼎佳债券C,HXDJZQC,41.71,,0,2020-04-21,1,1,2021-04-01,1.4171,1.4171,2020-04-21,,0.00%,,,,
12,006102,浙商丰利增强债券,ZSFLZQZQ,40.9005,,0,2020-04-01,1.1061,1.1061,2021-04-01,1.5585,1.5585,2018-08-28,1,0.08%,1,0.08%,1,0.80%
13,007454,民生加银嘉盈债券,MSJYJYZQ,34.9177,0.2285,4,2020-04-01,1.1277,1.1277,2021-04-01,1.2538,1.4823,2019-11-07,,0.80%,,,,
14,000297,鹏华可转债债券A,PHKZZZQA,33.6210,0.057,1,2020-04-01,1.081,1.081,2021-04-01,1.383,1.44,2015-02-03,1,0.08%,1,0.08%,1,0.80%
15,005273,华商可转债债券A,HSKZZZQA,32.0795,,0,2020-04-01,1.082,1.082,2021-04-01,1.4291,1.4291,2017-12-22,1,0.08%,1,0.08%,1,0.80%
16,005461,南方希元转债,NFXYZZ,31.6434,,0,2020-04-01,1.1677,1.1677,2021-04-01,1.5372,1.5372,2018-03-14,1,0.08%,1,0.08%,1,0.80%
17,005284,华商可转债债券C,HSKZZZQC,31.5355,,0,2020-04-01,1.0772,1.0772,2021-04-01,1.4169,1.4169,2017-12-22,1,0.00%,,,,
18,000014,华夏聚利债券,HXJLZQ,29.7030,,0,2020-04-01,1.313,1.313,2021-04-01,1.703,1.703,2013-03-19,1,0.06%,1,0.06%,1,0.60%
19,010476,太平恒久纯债,TPHJCZ,28.16,,0,2020-11-12,1,1,2021-04-01,1.2816,1.2816,2020-11-12,4,0.08%,1,0.08%,1,0.80%
20,006482,广发可转债债券A,GFKZZZQA,26.7231,,0,2020-04-01,1.1694,1.1694,2021-04-01,1.4819,1.4819,2018-11-02,1,0.10%,1,0.10%,1,1.00%
21,006483,广发可转债债券C,GFKZZZQC,26.2075,,0,2020-04-01,1.1905,1.1905,2021-04-01,1.5025,1.5025,2018-11-02,1,0.00%,,,,
22,675011,西部利得稳健双利债券A,XBLDWJSLZQA,25.0655,,0,2020-04-01,1.145,1.3,2021-04-01,1.432,1.587,2012-06-26,1,0.08%,1,0.08%,1,0.80%
23,675013,西部利得稳健双利债券C,XBLDWJSLZQC,24.4934,,0,2020-04-01,1.135,1.26,2021-04-01,1.413,1.538,2012-06-26,1,0.00%,,0.00%,0,0.00%
24,310518,申万菱信可转债债券A,SWLXKZZZQA,24.2692,,0,2020-04-01,1.471,1.621,2021-04-01,1.828,1.978,2011-12-09,1,0.08%,1,0.08%,1,0.80%
25,007316,交银可转债债券A,JYKZZZQA,23.4438,,0,2020-04-01,1.0233,1.0233,2021-04-01,1.2632,1.2632,2019-07-11,1,0.08%,1,0.08%,1,0.80%
26,005121,富国兴利增强债券,FGXLZQZQ,23.4096,,0,2020-04-01,1.1051,1.1051,2021-04-01,1.3638,1.3638,2017-09-20,1,0.08%,1,0.08%,1,0.80%
27,163816,中银转债增强债券A,ZYZZZQZQA,23.1659,,0,2020-04-01,2.249,2.249,2021-04-01,2.77,2.77,2011-06-29,1,0.08%,1,0.08%,1,0.80%
28,007317,交银可转债债券C,JYKZZZQC,22.9420,,0,2020-04-01,1.0204,1.0204,2021-04-01,1.2545,1.2545,2019-07-11,1,0.00%,,,,
29,050019,博时转债增强债券A,BSZZZQZQA,22.8298,,0,2020-04-01,1.463,1.468,2021-04-01,1.797,1.802,2010-11-24,1,0.08%,1,0.08%,1,0.80%
30,050011,博时信用债券A/B,BSXYZQAB,22.7932,,0,2020-04-01,2.549,2.664,2021-04-01,3.13,3.245,2009-06-10,1,0.08%,1,0.08%,1,0.80%
31,163817,中银转债增强债券B,ZYZZZQZQB,22.7482,,0,2020-04-01,2.176,2.176,2021-04-01,2.671,2.671,2011-06-29,1,0.00%,,,,
32,165509,信诚增强收益债券(LOF),XCZQSYZQLOF,22.6724,0.103,4,2020-04-01,1.123,1.668,2021-04-01,1.268,1.916,2010-09-29,1,0.08%,1,0.08%,1,0.80%
33,050111,博时信用债券C,BSXYZQC,22.3340,,0,2020-04-01,2.485,2.582,2021-04-01,3.04,3.137,2009-06-10,1,0.00%,,0.00%,0,0.00%
34,050119,博时转债增强债券C,BSZZZQZQC,22.3077,,0,2020-04-01,1.43,1.434,2021-04-01,1.749,1.753,2010-11-24,1,0.00%,,0.00%,0,0.00%
35,001751,华商信用增强债券A,HSXYZQZQA,22.1469,,0,2020-04-01,0.885,0.885,2021-04-01,1.081,1.081,2015-09-08,1,0.08%,1,0.08%,1,0.80%
36,630009,华商稳定增利债券A,HSWDZLZQA,22.1060,,0,2020-04-01,1.434,1.764,2021-04-01,1.751,2.081,2011-03-15,1,0.08%,1,0.08%,1,0.80%
37,001752,华商信用增强债券C,HSXYZQZQC,21.6341,,0,2020-04-01,0.869,0.869,2021-04-01,1.057,1.057,2015-09-08,1,0.00%,,,,
38,630109,华商稳定增利债券C,HSWDZLZQC,21.5374,,0,2020-04-01,1.379,1.699,2021-04-01,1.676,1.996,2011-03-15,1,0.00%,,0.00%,0,0.00%
39,100051,富国可转债A,FGKZZA,21.4116,,0,2020-04-01,1.686,1.686,2021-04-01,2.047,2.047,2010-12-08,1,0.08%,1,0.08%,1,0.80%
40,000536,前海开源可转债债券,QHKYKZZZQ,21.3018,,0,2020-04-01,0.845,1.215,2021-04-01,1.025,1.395,2014-03-25,1,0.08%,1,0.08%,1,0.80%
41,005771,银华可转债债券,YHKZZZQ,20.8908,,0,2020-04-01,1.1967,1.1967,2021-04-01,1.4467,1.4467,2018-08-31,1,0.08%,1,0.08%,1,0.80%
42,009758,富国可转债C,FGKZZC,20.5189,,0,2020-06-24,1.6960,1.6960,2021-04-01,2.044,2.044,2020-06-24,1,0.00%,,,,
43,000810,富国收益增强债券A,FGSYZQZQA,20.4016,0.04,1,2020-04-01,1.285,1.405,2021-04-01,1.507,1.667,2014-10-28,1,0.08%,1,0.08%,1,0.80%
44,000812,富国收益增强债券C,FGSYZQZQC,19.8855,0.04,1,2020-04-01,1.253,1.373,2021-04-01,1.462,1.622,2014-10-28,1,0.00%,,,,
45,470058,汇添富可转换债券A,HTFKZHZQA,19.7324,,0,2020-04-01,1.495,1.777,2021-04-01,1.79,2.072,2011-06-17,1,0.08%,1,0.08%,1,0.80%
46,470059,汇添富可转换债券C,HTFKZHZQC,19.2762,,0,2020-04-01,1.437,1.719,2021-04-01,1.714,1.996,2011-06-17,1,0.00%,,0.00%,0,0.00%
47,002459,华夏鼎利债券发起式A,HXDLZQFQSA,18.9686,0.02,2,2020-04-01,1.152,1.322,2021-04-01,1.347,1.537,2016-11-18,1,0.08%,1,0.08%,1,0.80%
48,070015,嘉实多元债券A,JSDYZQA,18.9362,0.0769,3,2020-04-01,1.168,1.713,2021-04-01,1.308,1.93,2008-09-10,1,0.08%,1,0.08%,1,0.80%
49,210014,金鹰元丰债券A,JYYFZQA,18.7881,,0,2020-04-01,1.213,1.4848,2021-04-01,1.4409,1.7638,2013-01-30,1,0.06%,1,0.06%,1,0.60%
50,002460,华夏鼎利债券发起式C,HXDLZQFQSC,18.7707,0.02,2,2020-04-01,1.148,1.318,2021-04-01,1.34,1.53,2016-11-18,1,0.00%,,,,
51,008868,民生加银嘉益债券,MSJYJYZQ,18.7,,0,2020-08-14,1,1,2021-04-01,1.187,1.187,2020-08-14,4,0.08%,1,0.08%,1,0.80%
52,002965,中海合嘉增强收益债券A,ZHHJZQSYZQA,18.6994,,0,2020-04-01,1.038,1.038,2021-04-01,1.2321,1.2321,2016-08-24,1,0.08%,1,0.08%,1,0.80%
53,720003,财通收益增强债券A,CTSYZQZQA,18.6232,0.093,2,2020-04-01,1.1406,1.2606,2021-04-01,1.2581,1.4711,2012-12-20,1,0.08%,1,0.08%,1,0.80%
54,070016,嘉实多元债券B,JSDYZQB,18.6168,0.0724,3,2020-04-01,1.162,1.669,2021-04-01,1.302,1.882,2008-09-10,1,0.00%,,0.00%,0,0.00%
55,002966,中海合嘉增强收益债券C,ZHHJZQSYZQC,18.4396,,0,2020-04-01,1.0369,1.0369,2021-04-01,1.2281,1.2281,2016-08-24,1,0.00%,,,,
56,003204,财通收益增强债券C,CTSYZQZQC,18.1494,0.093,2,2020-04-01,1.0925,1.1645,2021-04-01,1.1961,1.3611,2017-04-14,1,0.00%,,,,
57,720002,财通可转债债券A,CTKZZZQA,18.1033,0.064,2,2020-04-01,0.9774,1.2587,2021-04-01,1.0869,1.4448,2012-07-13,1,0.08%,1,0.08%,1,0.80%
58,320021,诺安双利债券发起,NASLZQFQ,18.0422,,0,2020-04-01,2.084,2.084,2021-04-01,2.46,2.46,2012-11-29,1,0.08%,1,0.08%,1,0.80%
59,040022,华安可转债债券A,HAKZZZQA,17.9567,,0,2020-04-01,1.292,1.292,2021-04-01,1.524,1.524,2011-06-22,1,0.08%,1,0.08%,1,0.80%
