,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,519746,交银丰享收益债券A,JYFXSYZQA,102.3945,0.011,1,2017-04-05,1.016,1.016,2018-03-30,2.034,2.045,2017-01-20,1,0.08%,1,0.08%,1,0.80%
1,003860,招商招旭纯债C,ZSZXCZC,32.7532,0.321,1,2017-04-05,1.007,1.007,2018-03-30,1.0101,1.3311,2016-12-15,1,0.00%,,,,
2,003869,长信稳势纯债,CXWSCZ,29.7786,0.06,1,2017-08-18,1,1,2018-03-30,1.2374,1.2974,2017-08-18,1,0.06%,1,0.06%,1,0.60%
3,003788,方正富邦惠利纯债C,FZFBHLCZC,21.5857,0.21,1,2017-04-05,1.0053,1.0123,2018-03-30,1.0123,1.2293,2016-12-19,1,0.00%,,,,
4,519225,海富通集利债券,HFTJLZQ,20.6508,,0,2017-04-05,0.9927,0.9927,2018-03-30,1.1977,1.1977,2016-09-29,1,0.08%,1,0.08%,1,0.80%
5,003039,广发集富纯债A,GFJFCZA,17.4622,0.082,3,2017-04-05,1.005,1.005,2018-03-30,1.097,1.179,2017-01-13,1,0.08%,1,0.08%,1,0.80%
6,675043,西部利得合享C,XBLDHXC,16.2991,,0,2017-04-05,1.0111,1.0111,2018-03-30,1.1759,1.1759,2016-08-25,1,0.00%,,,,
7,004907,长安泓沣中短债债券A,CAHFZDZZQA,15.4385,,0,2017-08-09,1.0001,1.0001,2018-03-30,1.1545,1.1545,2017-08-09,1,0.04%,1,0.04%,1,0.40%
8,004908,长安泓沣中短债债券C,CAHFZDZZQC,14.9485,,0,2017-08-09,1.0001,1.0001,2018-03-30,1.1496,1.1496,2017-08-09,4,0.00%,,,,
9,004897,长安泓源纯债债券A,CAHYCZZQA,14.7,,0,2017-07-27,1,1,2018-03-30,1.147,1.147,2017-07-27,1,0.04%,1,0.04%,1,0.40%
10,002246,泰康稳健增利债券C,TKWJZLZQC,14.6550,,0,2017-04-05,1.0174,1.0174,2018-03-30,1.1665,1.1665,2016-02-03,1,0.00%,,,,
11,004898,长安泓源纯债债券C,CAHYCZZQC,14.5,,0,2017-07-27,1,1,2018-03-30,1.145,1.145,2017-07-27,1,0.00%,,,,
12,003188,博时聚源纯债债券A,BSJYCZZQA,13.7321,0.0251,1,2017-04-05,1.005,1.005,2018-03-30,1.1151,1.1402,2017-02-09,1,0.08%,1,0.08%,1,0.80%
13,004826,平安惠悦纯债,PAHYCZ,12.6275,,0,2017-09-12,1.0002,1.0002,2018-03-30,1.1265,1.1265,2017-09-12,1,0.08%,1,0.08%,1,0.80%
14,004156,中信保诚至泰中短债债券C,ZXBCZTZDZZQC,11.71,,0,2017-06-06,1,1,2018-03-30,1.1171,1.1171,2017-06-06,1,0.00%,,,,
15,470058,汇添富可转换债券A,HTFKZHZQA,11.1111,,0,2017-04-05,1.296,1.366,2018-03-30,1.44,1.51,2011-06-17,1,0.08%,1,0.08%,1,0.80%
16,003109,光大安和债券A,GDAHZQA,10.7427,,0,2017-04-05,1.0165,1.0165,2018-03-30,1.1257,1.1257,2017-01-05,1,0.08%,1,0.08%,1,0.80%
17,470059,汇添富可转换债券C,HTFKZHZQC,10.6551,,0,2017-04-05,1.267,1.337,2018-03-30,1.402,1.472,2011-06-17,1,0.00%,,0.00%,0,0.00%
18,004333,金鹰元盛债券型发起式E,JYYSZQXFQSE,10.6089,,0,2017-04-05,1.084,1.084,2018-03-30,1.199,1.199,2017-02-14,1,0.06%,1,0.06%,1,0.60%
19,040037,华安安心收益债券B,HAAXSYZQB,10.4307,0.023,1,2017-04-05,1.042,1.468,2018-03-30,1.126,1.575,2012-09-07,1,0.00%,,0.00%,0,0.00%
20,003110,光大安和债券C,GDAHZQC,10.4175,,0,2017-04-05,1.0156,1.0156,2018-03-30,1.1214,1.1214,2017-01-05,1,0.00%,,,,
21,040036,华安安心收益债券A,HAAXSYZQA,10.1342,0.023,1,2017-04-05,1.042,1.453,2018-03-30,1.123,1.557,2012-09-07,1,0.08%,1,0.08%,1,0.80%
22,002351,易方达裕祥回报债券,YFDYXHBZQ,9.9609,,0,2017-04-05,1.024,1.024,2018-03-30,1.126,1.126,2016-01-22,1,0.10%,1,0.10%,1,1.00%
23,004238,永赢瑞益债券,YYRYZQ,9.8151,0.0683,3,2017-04-05,1.0038,1.0038,2018-03-30,1.0314,1.0997,2017-03-02,1,0.08%,1,0.08%,1,0.80%
24,004118,博时裕鹏纯债债券,BSYPCZZQ,9.5346,0.0131,1,2017-04-05,1.0101,1.0101,2018-03-30,1.0921,1.1052,2016-12-22,1,0.08%,1,0.08%,1,0.80%
25,000536,前海开源可转债债券,QHKYKZZZQ,9.5237,,0,2017-04-05,0.756,1.126,2018-03-30,0.828,1.198,2014-03-25,1,0.08%,1,0.08%,1,0.80%
26,004825,平安惠泽纯债,PAHZCZ,9.4213,0.006,1,2017-07-14,1,1,2018-03-30,1.0877,1.0937,2017-07-14,1,0.08%,1,0.08%,1,0.80%
27,002969,易方达丰和债券,YFDFHZQ,9.1735,,0,2017-04-05,1.0236,1.0236,2018-03-30,1.1175,1.1175,2016-11-23,1,0.10%,1,0.10%,1,1.00%
28,000171,易方达裕丰回报债券,YFDYFHBZQ,8.6571,,0,2017-04-05,1.467,1.467,2018-03-30,1.594,1.594,2013-08-23,1,0.10%,1,0.10%,1,1.00%
29,001031,华夏安康债券A,HXAKZQA,8.4616,,0,2017-04-05,1.17,1.33,2018-03-30,1.269,1.429,2012-09-11,1,0.08%,1,0.08%,1,0.80%
30,002651,东方红汇利债券A,DFHHLZQA,8.2932,0.03,3,2017-04-05,1.0071,1.0171,2018-03-30,1.0596,1.0996,2016-06-13,1,0.08%,1,0.08%,1,0.80%
31,001033,华夏安康债券C,HXAKZQC,8.0729,,0,2017-04-05,1.152,1.312,2018-03-30,1.245,1.405,2012-09-11,1,0.00%,,0.00%,0,0.00%
32,002701,东方红汇阳债券A,DFHHYZQA,7.9894,0.03,3,2017-04-05,1.0165,1.0265,2018-03-30,1.0668,1.1068,2016-05-26,1,0.08%,1,0.08%,1,0.80%
