,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,512760,国泰CES半导体芯片ETF,GTCESBDTXPETF,73.74,,0,2019-05-16,1,1,2020-04-01,1.7374,1.7374,2019-05-16,,,,,,
1,512480,国联安中证半导体ETF,GLAZZBDTETF,61.15,,0,2019-05-08,1,1,2020-04-01,1.6115,1.6115,2019-05-08,,,,,,
2,007300,国联安中证半导体ETF联接A,GLAZZBDTETFLJA,59.4541,,0,2019-06-26,1.0001,1.0001,2020-04-01,1.5947,1.5947,2019-06-26,1,0.08%,1,0.08%,1,0.80%
3,007301,国联安中证半导体ETF联接C,GLAZZBDTETFLJC,58.7641,,0,2019-06-26,1.0001,1.0001,2020-04-01,1.5878,1.5878,2019-06-26,1,0.00%,,,,
4,510810,汇添富中证上海国企ETF,HTFZZSHGQETF,53.8399,,0,2019-04-01,0.9739,1.0039,2020-04-01,0.7764,0.8064,2016-07-28,,,,,,
5,512170,华宝中证医疗ETF,HBZZYLETF,42.1816,,0,2019-05-20,1.0002,1.0002,2020-04-01,1.4221,1.4221,2019-05-20,,,,,,
6,161035,富国中证医药主题指数增强A,FGZZYYZTZSZQA,35.2436,,0,2019-04-01,1.047,1.047,2020-04-01,1.416,1.416,2016-11-11,1,0.12%,1,0.12%,1,1.20%
7,512290,国泰中证生物医药ETF,GTZZSWYYETF,35.19,,0,2019-04-18,1,1,2020-04-01,1.3519,1.3519,2019-04-18,,,,,,
8,161726,招商国证生物医药指数(LOF)A,ZSGZSWYYZSLOFA,34.2434,,0,2019-04-01,1.0978,0.7474,2020-04-01,0.9975,0.9847,2015-05-27,1,0.10%,1,0.10%,1,1.00%
9,006756,国泰中证生物医药ETF联接A,GTZZSWYYETFLJA,33.16,,0,2019-04-16,1,1,2020-04-01,1.3316,1.3316,2019-04-16,1,0.10%,1,0.10%,1,1.00%
10,006757,国泰中证生物医药ETF联接C,GTZZSWYYETFLJC,32.29,,0,2019-04-16,1,1,2020-04-01,1.3229,1.3229,2019-04-16,1,0.00%,,,,
11,515000,华宝中证科技龙头ETF,HBZZKJLTETF,30.55,,0,2019-07-22,1,1,2020-04-01,1.3055,1.3055,2019-07-22,,,,,,
12,160424,华安创业板50ETF联接C,HACYB50ETFLJC,30.419,,0,2019-05-21,1.0214,1.0214,2020-04-01,1.3321,1.3321,2019-05-21,1,0.00%,,,,
13,161033,富国中证智能汽车(LOF)A,FGZZZNQCLOFA,29.6066,,0,2019-04-01,0.966,0.966,2020-04-01,1.252,1.252,2016-02-16,1,0.12%,1,0.12%,1,1.20%
