,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,44.8311,,0,2016-04-01,0.813,0.828,2017-03-31,1.151,1.188,2015-05-27,1,0.10%,1,0.10%,1,1.00%
1,160632,鹏华酒A,PHJA,34.3128,,0,2016-04-01,0.775,0.791,2017-03-31,1.016,1.055,2015-04-29,1,0.12%,1,0.12%,1,1.20%
2,160222,国泰国证食品饮料行业(LOF)A,GTGZSPYLHYLOFA,27.4470,,0,2016-04-01,0.7563,1.3501,2017-03-31,0.9338,1.5551,2014-10-23,1,0.00%,,,,
3,512010,易方达沪深300医药ETF,YFDHS300YYETF,24.7748,,0,2016-04-01,1.1435,1.1435,2017-03-31,1.4268,1.4268,2013-09-23,,0.05%,,,,
4,001397,建信精工制造指数增强,JXJGZZZSZQ,24.2313,,0,2016-04-01,0.8976,0.8976,2017-03-31,1.1151,1.1151,2015-08-26,1,0.15%,1,0.15%,1,1.50%
5,159928,汇添富中证主要消费ETF,HTFZZZYXFETF,23.3138,,0,2016-04-01,1.3018,1.3018,2017-03-31,1.6053,1.6053,2013-08-23,,0.05%,,,,
6,510630,华夏消费ETF,HXXFETF,22.8835,,0,2016-04-01,1.3997,1.3997,2017-03-31,1.72,1.72,2013-03-28,,,,,,
7,540012,汇丰晋信恒生龙头指数A,HFJXHSLTZSA,22.7163,,0,2016-04-01,1.2392,1.2392,2017-03-31,1.5207,1.5207,2012-08-01,1,0.12%,1,0.12%,1,1.20%
8,512600,嘉实中证主要消费ETF,JSZZZYXFETF,22.4223,,0,2016-04-01,1.3491,1.3491,2017-03-31,1.6516,1.6516,2014-06-13,,,,,,
9,217027,招商央视财经50指数A,ZSYSCJ50ZSA,22.1613,,0,2016-04-01,1.277,1.277,2017-03-31,1.56,1.56,2013-02-05,1,0.12%,1,0.12%,1,1.20%
10,001149,汇丰晋信恒生龙头指数C,HFJXHSLTZSC,22.0382,,0,2016-04-01,1.2433,1.2433,2017-03-31,1.5173,1.5173,2015-04-01,1,0.00%,,,,
11,000311,景顺长城沪深300指数增强A,JSCCHS300ZSZQA,21.9261,,0,2016-04-01,1.651,1.651,2017-03-31,2.013,2.013,2013-10-29,1,0.12%,1,0.12%,1,1.20%
12,510160,中证南方小康产业指数ETF,ZZNFXKCYZSETF,21.8737,,0,2016-04-01,0.4622,1.1499,2017-03-31,0.5633,1.4014,2010-08-27,,,,,,
13,001242,博时中证淘金大数据100A,BSZZTJDSJ100A,21.7963,,0,2016-04-01,0.7382,0.7382,2017-03-31,0.8991,0.8991,2015-05-04,1,0.12%,1,0.12%,1,1.20%
14,001243,博时中证淘金大数据100I,BSZZTJDSJ100I,21.7904,,0,2016-04-01,0.7384,0.7384,2017-03-31,0.8993,0.8993,2015-05-04,,0.60%,,,,
15,000248,汇添富中证主要消费ETF联接A,HTFZZZYXFETFLJA,21.6430,,0,2016-04-01,0.8996,0.8996,2017-03-31,1.0943,1.0943,2015-03-24,1,0.10%,1,0.10%,1,1.00%
16,202021,南方小康ETF联接A,NFXKETFLJA,21.0832,,0,2016-04-01,1.0193,1.0393,2017-03-31,1.2342,1.2542,2010-08-27,1,0.12%,1,0.12%,1,1.20%
17,000478,建信中证500指数增强A,JXZZ500ZSZQA,20.9100,,0,2016-04-01,1.956,1.956,2017-03-31,2.365,2.365,2014-01-27,1,0.15%,1,0.15%,1,1.50%
