,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,6401,先锋量化优选混合A,XFLHYXHHA,,4799.1186,0,2019/5/15,1,1,2020/4/1,1.0482,48.9912,2019/5/15,1,0.15%,1,0.15%,1,1.50%
1,6279,中金瑞祥A,ZJRXA,,253.0136,0,2019/4/1,1.0801,1.0801,2020/4/1,3.8129,3.8129,2018/11/13,1,0.15%,1,0.15%,1,1.50%
2,5911,广发双擎升级混合A,GFSQSJHHA,72.668,0.1329,1,2019/4/1,1.3793,1.3793,2020/4/1,2.2685,2.4014,2018/11/2,1,0.15%,1,0.15%,1,1.50%
3,2939,广发创新升级混合,GFCXSJHH,70.8117,,0,2019/4/1,1.2183,1.2633,2020/4/1,2.081,2.126,2016/8/24,1,0.15%,1,0.15%,1,1.50%
4,7581,宝盈鸿利收益灵活配置混合C,BYHLSYLHPZHHC,60.8347,0.115,2,2019/7/1,1.082,1.082,2020/4/1,1.584,1.699,2019/7/1,1,0.00%,,,,
5,519674,银河创新成长混合A,YHCXCZHHA,60.6071,,0,2019/4/1,2.8561,2.8561,2020/4/1,4.5871,4.5871,2010/12/29,1,0.15%,1,0.15%,1,1.50%
6,162703,广发小盘成长混合(LOF)A,GFXPCZHHLOFA,60.0574,,0,2019/4/1,1.4641,3.8021,2020/4/1,2.3434,4.6814,2005/2/2,1,0.15%,1,0.15%,1,1.50%
7,5176,富国精准医疗混合,FGJZYLHH,57.7004,,0,2019/4/1,1.3324,1.3324,2020/4/1,2.1012,2.1012,2017/11/16,1,0.15%,1,0.15%,1,1.50%
8,2264,华夏乐享健康混合A,HXLXJKHHA,56.1342,,0,2019/4/1,1.133,1.133,2020/4/1,1.769,1.769,2016/8/3,1,0.15%,1,0.15%,1,1.50%
9,7579,宝盈先进制造混合C,BYXJZZHHC,55.5142,0.205,3,2019/7/1,1.175,1.175,2020/4/1,1.586,1.791,2019/7/1,1,0.00%,,,,
10,161903,万家行业优选混合(LOF),WJHYYXHHLOF,54.9765,0.146,1,2019/4/1,0.9653,2.9677,2020/4/1,1.3464,3.9028,2005/7/15,1,0.15%,1,0.15%,1,1.50%
11,213001,宝盈鸿利收益灵活配置混合A,BYHLSYLHPZHHA,52.9253,0.146,3,2019/4/1,1.177,3.311,2020/4/1,1.589,4.073,2002/10/8,1,0.15%,1,0.15%,1,1.50%
12,2408,中信建投医改混合A,ZXJTYGHHA,52.4903,,0,2019/4/1,1.032,1.032,2020/4/1,1.5737,1.5737,2016/4/6,1,0.12%,1,0.12%,1,1.20%
13,1508,富国新动力灵活配置混合A,FGXDLLHPZHHA,51.8519,,0,2019/4/1,1.647,1.647,2020/4/1,2.501,2.501,2015/8/4,1,0.15%,1,0.15%,1,1.50%
14,460005,华泰柏瑞价值增长混合A,HTBRJZZZHHA,51.8147,0.1391,1,2019/4/1,2.4007,3.4469,2020/4/1,3.502,4.6873,2008/7/16,1,0.15%,1,0.15%,1,1.50%
15,717,融通转型三动力灵活配置混合A,RTZXSDLLHPZHHA,51.7942,,0,2019/4/1,1.477,1.477,2020/4/1,2.242,2.242,2015/1/16,1,0.15%,1,0.15%,1,1.50%
16,727,融通健康产业灵活配置混合A/B,RTJKCYLHPZHHAB,51.7742,,0,2019/4/1,1.24,1.24,2020/4/1,1.882,1.882,2014/12/25,1,0.15%,1,0.15%,1,1.50%
17,4082,国联安鑫乾混合C,GLAXQHHC,51.3398,,0,2019/4/1,1.0337,1.0567,2020/4/1,1.5644,1.5874,2017/3/2,1,0.00%,,,,
18,1510,富国新动力灵活配置混合C,FGXDLLHPZHHC,51.2915,,0,2019/4/1,1.626,1.626,2020/4/1,2.46,2.46,2015/8/4,1,0.00%,,,,
19,5689,中银医疗保健混合A,ZYYLBJHHA,51.1783,,0,2019/4/1,1.1669,1.1949,2020/4/1,1.7641,1.7921,2018/6/13,1,0.15%,1,0.15%,1,1.50%
20,7340,南方科技创新混合A,NFKJCXHHA,51,,0,2019/5/6,1,1,2020/4/1,1.51,1.51,2019/5/6,1,0.15%,1,0.15%,1,1.50%
21,257070,国联安优选行业混合,GLAYXHYHH,50.9257,,0,2019/4/1,1.5177,1.8187,2020/4/1,2.2906,2.5916,2011/5/23,1,0.15%,1,0.15%,1,1.50%
22,7490,南方信息创新混合A,NFXXCXHHA,50.56,,0,2019/6/19,1,1,2020/4/1,1.5056,1.5056,2019/6/19,1,0.15%,1,0.15%,1,1.50%
23,161810,银华内需精选混合(LOF),YHNXJXHHLOF,50.211,,0,2019/4/1,1.659,1.577,2020/4/1,2.492,2.369,2009/7/1,1,0.15%,1,0.15%,1,1.50%
24,924,宝盈先进制造混合A,BYXJZZHHA,49.9702,0.257,4,2019/4/1,1.283,1.338,2020/4/1,1.594,1.906,2014/12/17,1,0.15%,1,0.15%,1,1.50%
25,7341,南方科技创新混合C,NFKJCXHHC,49.91,,0,2019/5/6,1,1,2020/4/1,1.4991,1.4991,2019/5/6,1,0.00%,,,,
26,7491,南方信息创新混合C,NFXXCXHHC,49.64,,0,2019/6/19,1,1,2020/4/1,1.4964,1.4964,2019/6/19,1,0.00%,,,,
