,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,519760,交银新回报灵活配置混合C,JYXHBLHPZHHC,,,0,2018/4/2,1.118,1.138,2019/4/1,4.051,4.071,2015/11/19,1,0.00%,,,,
1,3106,光大永鑫混合C,GDYXHHC,,0.251,1,2018/4/2,1.07,1.07,2019/4/1,3.261,3.512,2016/8/19,1,0.00%,,,,
2,3105,光大永鑫混合A,GDYXHHA,,0.251,1,2018/4/2,1.072,1.072,2019/4/1,3.263,3.514,2016/8/19,1,0.08%,1,0.08%,1,0.80%
3,6109,富荣价值精选混合A,FRJZJXHHA,83.85,,0,2018/8/10,1,1,2019/4/1,1.8385,1.8385,2018/8/10,1,0.10%,1,0.10%,1,1.00%
4,6216,前海开源价值成长混合A,QHKYJZCZHHA,59.62,262.3435,0,2018/9/19,1,1,2019/4/1,1.5962,1.5962,2018/9/19,1,0.15%,1,0.15%,1,1.50%
5,6217,前海开源价值成长混合C,QHKYJZCZHHC,59.54,228.2315,0,2018/9/19,1,1,2019/4/1,1.5954,1.5954,2018/9/19,1,0.00%,,,,
6,5542,前海开源盛鑫混合C,QHKYSXHHC,54.61,227.8057,0,2018/4/4,1,1,2019/4/1,1.5461,1.5461,2018/4/4,1,0.00%,,,,
7,5541,前海开源盛鑫混合A,QHKYSXHHA,54.59,,0,2018/4/4,1,1,2019/4/1,1.5459,1.5459,2018/4/4,1,0.15%,1,0.15%,1,1.50%
8,2407,前海开源恒远灵活配置混合,QHKYHYLHPZHH,52.0764,,0,2018/4/2,1.074,1.074,2019/4/1,1.6333,1.6333,2016/3/28,1,0.15%,1,0.15%,1,1.50%
9,6132,万家智造优势混合A,WJZZYSHHA,46.15,,0,2018/8/28,1,1,2019/4/1,1.4615,1.4615,2018/8/28,1,0.15%,1,0.15%,1,1.50%
10,1278,前海开源清洁能源混合A,QHKYQJNYHHA,45.8791,,0,2018/4/2,1.092,1.192,2019/4/1,1.593,1.693,2015/6/16,1,0.15%,1,0.15%,1,1.50%
