,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,005669,前海开源公用事业股票,QHKYGYSYGP,74.8412,,0,2021-04-01,1.5116,1.5116,2022-04-29,2.6429,2.6429,2018-03-23,1,0.15%,1,0.15%,1,1.50%
1,168204,中融中证煤炭指数(LOF),ZRZZMTZSLOF,68.8443,,0,2021-04-01,0.995,0.995,2022-04-29,1.68,1.68,2015-06-25,1,0.00%,,,,
2,515220,国泰中证煤炭ETF,GTZZMTETF,67.4999,0.08,1,2021-04-01,1.3634,1.3634,2022-04-29,2.1958,2.2758,2020-01-20,,,,,,
3,008279,国泰中证煤炭ETF联接A,GTZZMTETFLJA,66.1892,0.3,1,2021-04-01,1.3325,1.3325,2022-04-29,1.869,2.169,2020-01-16,1,0.10%,1,0.10%,1,1.00%
4,008280,国泰中证煤炭ETF联接C,GTZZMTETFLJC,65.6619,0.3,1,2021-04-01,1.3279,1.3279,2022-04-29,1.8547,2.1547,2020-01-16,1,0.00%,,,,
5,161032,富国中证煤炭指数(LOF)A,FGZZMTZSLOFA,61.7462,,0,2021-04-01,1.111,0.774,2022-04-29,1.797,1.252,2015-06-19,1,0.00%,,,,
6,161724,招商中证煤炭等权指数(LOF)A,ZSZZMTDQZSLOFA,56.3229,,0,2021-04-01,1.0802,0.801,2022-04-29,1.6886,1.2057,2015-05-20,1,0.10%,1,0.10%,1,1.00%
7,159930,汇添富中证能源ETF,HTFZZNYETF,48.5250,,0,2021-04-01,0.6881,0.6881,2022-04-29,1.022,1.022,2013-08-23,,0.05%,,,,
8,159945,广发中证全指能源ETF,GFZZQZNYETF,42.4156,,0,2021-04-01,0.6342,0.6342,2022-04-29,0.9032,0.9032,2015-06-25,,,,,,
9,001719,工银国家战略股票,GYGJZLGP,37.6265,,0,2021-04-01,1.778,1.778,2022-04-29,2.447,2.447,2016-01-29,1,0.15%,1,0.15%,1,1.50%
10,000729,建信中小盘先锋股票A,JXZXPXFGPA,32.7908,,0,2021-04-01,2.519,2.519,2022-04-29,3.345,3.345,2014-08-20,1,0.15%,1,0.15%,1,1.50%
11,007130,中庚小盘价值股票,ZGXPJZGP,31.7201,,0,2021-04-01,1.4691,1.4691,2022-04-29,1.9351,1.9351,2019-04-03,4,1.50%,99,1.50%,99,1.50%
12,510410,博时上证自然资源ETF,BSSZZRZYETF,29.1429,,0,2021-04-01,0.7899,0.7899,2022-04-29,1.0201,1.0201,2012-04-10,,,,,,
13,000756,建信潜力新蓝筹股票A,JXQLXLCGPA,28.6848,,0,2021-04-01,2.395,2.395,2022-04-29,3.082,3.082,2014-09-10,1,0.15%,1,0.15%,1,1.50%
14,050024,博时上证自然资源ETF联接,BSSZZRZYETFLJ,28.2578,,0,2021-04-01,0.7835,0.7835,2022-04-29,1.0049,1.0049,2012-04-10,1,0.12%,1,0.12%,1,1.20%
15,510170,国联安上证商品ETF,GLASZSPETF,27.3952,,0,2021-04-01,2.599,0.806,2022-04-29,3.311,1.027,2010-11-26,,,,,,
16,007674,工银产业升级股票A,GYCYSJGPA,27.3850,,0,2021-04-01,1.2149,1.2149,2022-04-29,1.5476,1.5476,2019-12-25,6,0.15%,1,0.15%,1,1.50%
17,160620,鹏华资源A,PHZYA,27.1671,,0,2021-04-01,1.292,0.949,2022-04-29,1.643,1.178,2012-09-27,1,0.12%,1,0.12%,1,1.20%
18,257060,国联安上证商品ETF联接,GLASZSPETFLJ,26.7588,,0,2021-04-01,0.8102,0.8102,2022-04-29,1.027,1.027,2010-12-01,1,0.15%,1,0.15%,1,1.50%
19,005161,华商上游产业股票,HSSYCYGP,26.5115,,0,2021-04-01,1.5465,1.5465,2022-04-29,1.9565,1.9565,2017-12-27,1,0.15%,1,0.15%,1,1.50%
20,007675,工银产业升级股票C,GYCYSJGPC,26.2930,,0,2021-04-01,1.2026,1.2026,2022-04-29,1.5188,1.5188,2019-12-25,6,0.00%,,,,
21,001245,工银生态环境股票A,GYSTHJGPA,26.0841,,0,2021-04-01,1.545,1.545,2022-04-29,1.948,1.948,2015-06-02,1,0.15%,1,0.15%,1,1.50%
22,161217,国投瑞银中证资源指数,GTRYZZZYZS,25.1599,,0,2021-04-01,0.938,0.938,2022-04-29,1.174,1.174,2011-07-21,1,0.12%,1,0.12%,1,1.20%
23,000828,泰达转型机遇股票A,TDZXJYGPA,24.1098,,0,2021-04-01,1.966,2.186,2022-04-29,2.44,2.66,2014-11-18,1,0.12%,1,0.12%,1,1.20%
24,005927,创金合信新能源汽车股票A,CJHXXNYQCGPA,23.9998,,0,2021-04-01,2.0046,2.0046,2022-04-29,2.4857,2.4857,2018-05-08,1,0.15%,1,0.15%,1,1.50%
25,009147,建信新能源行业股票A,JXXNYHYGPA,23.6422,,0,2021-04-01,1.5798,1.5798,2022-04-29,1.9533,1.9533,2020-06-17,1,0.15%,1,0.15%,1,1.50%
26,005928,创金合信新能源汽车股票C,CJHXXNYQCGPC,23.0679,,0,2021-04-01,1.9629,1.9629,2022-04-29,2.4157,2.4157,2018-05-08,1,0.00%,,,,
27,011229,创金合信数字经济主题股票A,CJHXSZJJZTGPA,22.8706,,0,2021-04-01,1.0848,1.0848,2022-04-29,1.3329,1.3329,2021-01-20,1,0.15%,1,0.15%,1,1.50%
28,011230,创金合信数字经济主题股票C,CJHXSZJJZTGPC,22.2089,,0,2021-04-01,1.0838,1.0838,2022-04-29,1.3245,1.3245,2021-01-20,1,0.00%,,,,
29,004784,招商稳健优选股票,ZSWJYXGP,20.9565,,0,2021-04-01,2.091,2.091,2022-04-29,2.5292,2.5292,2017-09-20,1,0.15%,1,0.15%,1,1.50%
30,004925,长信低碳环保行业量化股票A,CXDTHBHYLHGPA,20.4510,,0,2021-04-01,1.6542,1.6542,2022-04-29,1.9925,1.9925,2017-11-09,1,0.15%,1,0.15%,1,1.50%
31,005561,创金合信红利低波动A,CJHXHLDBDA,20.4452,,0,2021-04-01,1.2937,1.2937,2022-04-29,1.5582,1.5582,2018-04-26,1,0.15%,1,0.15%,1,1.50%
32,005562,创金合信红利低波动C,CJHXHLDBDC,20.1866,,0,2021-04-01,1.2865,1.2865,2022-04-29,1.5462,1.5462,2018-04-26,1,0.00%,,,,
33,161715,招商大宗商品(LOF),ZSDZSPLOF,20.1232,,0,2021-04-01,1.2016,1.3401,2022-04-29,1.4434,1.5819,2012-06-28,1,0.12%,1,0.12%,1,1.20%
34,159863,鹏华中证光伏产业ETF,PHZZGFCYETF,20.1109,,0,2021-04-01,0.9736,0.9736,2022-04-29,0.7796,1.1694,2021-02-22,,,,,,
35,690008,民生中证内地资源主题指数A,MSZZNDZYZTZSA,19.7747,,0,2021-04-01,0.799,0.799,2022-04-29,0.957,0.957,2012-03-08,1,0.12%,1,0.12%,1,1.20%
36,013275,富国中证煤炭指数(LOF)C,FGZZMTZSLOFC,19.746498,,0,2021-08-19,1.4990,1.4990,2022-04-29,1.795,1.795,2021-08-19,1,0.00%,,,,
37,011607,民生中证内地资源主题指数C,MSZZNDZYZTZSC,19.3992,,0,2021-04-01,0.799,0.799,2022-04-29,0.954,0.954,2021-03-09,1,0.00%,,,,
38,011146,创金合信气候变化责任投资股票A,CJHXQHBHZRTZGPA,19.1829,,0,2021-04-01,0.9571,0.9571,2022-04-29,1.1407,1.1407,2020-12-30,1,0.15%,1,0.15%,1,1.50%
39,000409,鹏华环保产业股票,PHHBCYGP,19.0731,,0,2021-04-01,3.733,3.733,2022-04-29,4.445,4.445,2014-03-07,1,0.15%,1,0.15%,1,1.50%
40,516180,平安中证光伏产业ETF,PAZZGFCYETF,18.9867,,0,2021-04-01,0.8369,0.8369,2022-04-29,0.9958,0.9958,2021-02-09,,,,,,
41,011147,创金合信气候变化责任投资股票C,CJHXQHBHZRTZGPC,18.6801,,0,2021-04-01,0.9561,0.9561,2022-04-29,1.1347,1.1347,2020-12-30,1,0.00%,,,,
42,003834,华夏能源革新股票A,HXNYGXGPA,18.4809,,0,2021-04-01,2.462,2.462,2022-04-29,2.917,2.917,2017-06-07,1,0.15%,1,0.15%,1,1.50%
43,005825,申万菱信智能驱动股票A,SWLXZNQDGPA,18.4701,,0,2021-04-01,2.5165,2.5165,2022-04-29,2.9813,2.9813,2018-06-13,1,0.15%,1,0.15%,1,1.50%
44,516970,广发中证基建工程ETF,GFZZJJGCETF,18.45,,0,2021-06-23,1,1,2022-04-29,1.1845,1.1845,2021-06-23,,,,,,
45,159885,鹏华中证内地低碳经济主题ETF,PHZZNDDTJJZTETF,18.035,,0,2021-04-06,1,1,2022-04-29,0.7869,1.1804,2021-04-06,,,,,,
46,159824,博时新能源汽车ETF,BSXNYQCETF,17.8509,,0,2021-04-01,0.9204,0.9204,2022-04-29,1.0847,1.0847,2020-12-10,,,,,,
47,000991,工银战略转型股票A,GYZLZXGPA,17.7090,,0,2021-04-01,3.326,3.326,2022-04-29,3.915,3.915,2015-02-16,1,0.15%,1,0.15%,1,1.50%
48,010805,东财新能源车A,DCXNYCA,17.4640,,0,2021-04-01,0.9511,0.9511,2022-04-29,1.1172,1.1172,2020-12-16,1,0.12%,1,0.12%,1,1.20%
49,159861,国泰中证环保产业50ETF,GTZZHBCY50ETF,17.4047,,0,2021-04-01,1.0049,1.0049,2022-04-29,1.1798,1.1798,2021-03-19,,,,,,
50,159857,天弘中证光伏产业ETF,THZZGFCYETF,17.0925,,0,2021-04-01,0.8571,0.8571,2022-04-29,1.0036,1.0036,2021-02-04,,,,,,
51,011473,工银战略转型股票C,GYZLZXGPC,17.0526,,0,2021-04-01,3.325,3.325,2022-04-29,3.892,3.892,2021-02-05,1,0.00%,,,,
52,007178,浙商中华预期高股息A,ZSZHYQGGXA,17.0053,,0,2021-04-01,1.1026,1.1026,2022-04-29,1.2901,1.2901,2019-10-30,1,0.12%,1,0.12%,1,1.20%
53,010806,东财新能源车C,DCXNYCC,16.9684,,0,2021-04-01,0.95,0.95,2022-04-29,1.1112,1.1112,2020-12-16,1,0.00%,,,,
54,007216,浙商中华预期高股息C,ZSZHYQGGXC,16.5755,,0,2021-04-01,1.0974,1.0974,2022-04-29,1.2793,1.2793,2019-10-30,1,0.00%,,,,
55,160634,鹏华中证环保产业指数(LOF),PHZZHBCYZSLOF,16.2976,,0,2021-04-01,1.129,0.834,2022-04-29,1.313,0.958,2015-06-16,1,0.12%,1,0.12%,1,1.20%
56,512890,华泰柏瑞中证低波动ETF,HTBRZZDBDETF,16.2866,,0,2021-04-01,1.4294,1.4294,2022-04-29,0.8311,1.6622,2018-12-19,,,,,,
57,515700,平安中证新能源汽车产业ETF,PAZZXNYQCCYETF,16.1540,,0,2021-04-01,1.8757,1.8757,2022-04-29,2.1787,2.1787,2019-12-31,,,,,,
