,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,无用1.5,无用2,手续费,无用3,无用4
0,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,44.8311,,0,2016/4/1,0.813,0.828,2017/3/31,1.151,1.188,2015/5/27,1,0.10%,1,0.10%,1,1.00%
1,110022,易方达消费行业股票,YFDXFHYGP,37.9107,,0,2016/4/1,1.187,1.187,2017/3/31,1.637,1.637,2010/8/20,1,0.15%,1,0.15%,1,1.50%
2,519606,国泰金鑫股票,GTJXGP,37.0968,,0,2016/4/1,1.116,1.212,2017/3/31,1.53,1.661,2014/9/15,1,0.15%,1,0.15%,1,1.50%
3,1878,嘉实沪港深精选股票,JSHGSJXGP,34.8,,0,2016/5/27,1,1,2017/3/31,1.348,1.348,2016/5/27,1,0.15%,1,0.15%,1,1.50%
4,577,安信价值精选股票,AXJZJXGP,34.3411,,0,2016/4/1,1.753,1.753,2017/3/31,2.355,2.355,2014/4/21,1,0.15%,1,0.15%,1,1.50%
5,160632,鹏华酒A,PHJA,34.3128,,0,2016/4/1,0.775,0.791,2017/3/31,1.016,1.055,2015/4/29,1,0.12%,1,0.12%,1,1.20%
6,160127,南方新兴消费增长股票(LOF)A,NFXXXFZZGPLOFA,34.1528,,0,2016/4/1,1.096,1.519,2017/3/31,1.005,2.038,2012/3/13,1,0.15%,1,0.15%,1,1.50%
7,974,安信消费医药股票,AXXFYYGP,31.8795,,0,2016/4/1,0.963,0.963,2017/3/31,1.27,1.27,2015/3/19,1,0.15%,1,0.15%,1,1.50%
8,1542,国泰互联网+股票,GTHLWGP,31.4679,,0,2016/4/1,1.09,1.09,2017/3/31,1.433,1.433,2015/8/4,1,0.15%,1,0.15%,1,1.50%
9,1938,中欧时代先锋股票A,ZOSDXFGPA,30.978,0.186,4,2016/4/1,1.002,1.082,2017/3/31,1.1108,1.3768,2015/11/3,1,0.15%,1,0.15%,1,1.50%
10,457,上投摩根核心成长股票A,STMGHXCZGPA,30.7992,,0,2016/4/1,1.539,1.539,2017/3/31,2.013,2.013,2014/2/10,1,0.15%,1,0.15%,1,1.50%
11,1975,景顺长城环保优势股票,JSCCHBYSGP,29.7,,0,2016/4/1,1,1,2017/3/31,1.297,1.297,2016/3/15,1,0.15%,1,0.15%,1,1.50%
12,628,大成高新技术产业股票A,DCGXJSCYGPA,27.5654,,0,2016/4/1,0.994,0.994,2017/3/31,1.268,1.268,2015/2/3,1,0.15%,1,0.15%,1,1.50%
13,160222,国泰国证食品饮料行业(LOF)A,GTGZSPYLHYLOFA,27.447,,0,2016/4/1,0.7563,1.3501,2017/3/31,0.9338,1.5551,2014/10/23,1,0.00%,,,,
14,519714,交银消费新驱动股票,JYXFXQDGP,27.2301,,0,2016/4/1,0.852,1.708,2017/3/31,1.084,2.162,2012/11/7,1,0.15%,1,0.15%,1,1.50%
15,1645,国泰大健康股票A,GTDJKGPA,27.0891,,0,2016/4/1,1.089,1.089,2017/3/31,1.384,1.384,2016/2/3,1,0.15%,1,0.15%,1,1.50%
16,1178,前海开源再融资股票,QHKYZRZGP,26.6172,,0,2016/4/1,0.943,0.943,2017/3/31,1.194,1.194,2015/5/18,1,0.15%,1,0.15%,1,1.50%
17,1410,信达澳银新能源产业股票,XDAYXNYCYGP,26.4454,,0,2016/4/1,0.934,0.934,2017/3/31,1.181,1.181,2015/7/31,1,0.15%,1,0.15%,1,1.50%
