,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,手续费,无用2,也是手续费,无用3,无用4
0,006098,华宝券商ETF联接A,HBQSETFLJA,46.77,,0,2018-06-27,1,1,2019-04-01,1.4677,1.4677,2018-06-27,1,0.10%,1,0.10%,1,1.00%
1,005885,金鹰信息产业股票C,JYXXCYGPC,46.4324,,0,2018-04-18,1.0301,1.0301,2019-04-01,1.5084,1.5084,2018-04-18,1,0.00%,,,,
2,003853,金鹰信息产业股票A,JYXXCYGPA,45.5374,,0,2018-04-02,1.0308,1.0488,2019-04-01,1.5002,1.5182,2017-03-10,1,0.12%,1,0.12%,1,1.20%
3,159961,方正富邦深证100ETF,FZFBSZ100ETF,36.7245,,0,2018-11-02,1.0026,1.0026,2019-04-01,1.3708,1.3708,2018-11-02,,,,,,
4,006928,长城创业板指数增强C,CCCYBZSZQC,35.4998,,0,2019-01-29,0.8693,0.8693,2019-04-01,1.1779,1.1779,2019-01-29,1,0.00%,,0.00%,0,0.00%
5,161725,招商中证白酒指数(LOF)A,ZSZZBJZSLOFA,34.3953,,0,2018-04-02,1.031,1.567,2019-04-01,1.3512,1.9101,2015-05-27,1,0.10%,1,0.10%,1,1.00%
6,006342,中金MSCI质量C,ZJMSCIZLC,34.26,,0,2018-11-22,1,1,2019-04-01,1.3426,1.3426,2018-11-22,1,0.00%,,,,
7,006341,中金MSCI质量A,ZJMSCIZLA,34.24,,0,2018-11-22,1,1,2019-04-01,1.3424,1.3424,2018-11-22,1,0.10%,1,0.10%,1,1.00%
8,006138,国联安价值优选股票,GLAJZYXGP,34.09,,0,2018-09-20,1,1,2019-04-01,1.3409,1.3409,2018-09-20,1,0.15%,1,0.15%,1,1.50%
9,006733,博时创业板ETF联接C,BSCYBETFLJC,33.7293,,0,2018-12-10,1.0860,1,2019-04-01,1.4523,1.4523,2018-12-10,1,0.00%,,,,
10,006165,建信中证1000指数增强A,JXZZ1000ZSZQA,33.51,,0,2018-11-22,1,1,2019-04-01,1.3351,1.3351,2018-11-22,1,0.15%,1,0.15%,1,1.50%
11,005106,银华农业产业股票发起式A,YHNYCYGPFQSA,33.5085,,0,2018-04-02,0.9326,0.9326,2019-04-01,1.2451,1.2451,2017-09-28,1,0.15%,1,0.15%,1,1.50%
12,006166,建信中证1000指数增强C,JXZZ1000ZSZQC,33.12,,0,2018-11-22,1,1,2019-04-01,1.3312,1.3312,2018-11-22,1,0.00%,,,,
13,512260,华安中证低波动ETF,HAZZDBDETF,32.7966,,0,2018-11-30,0.9998,0.9998,2019-04-01,1.3277,1.3277,2018-11-30,,,,,,
14,006346,安信量化优选股票A,AXLHYXGPA,32.65,,0,2018-09-03,1,1,2019-04-01,1.3265,1.3265,2018-09-03,1,0.15%,1,0.15%,1,1.50%
15,006363,建信深证基本面60ETF联接C,JXSZJBM60ETFLJC,32.5876,,0,2018-09-04,1.6181,1,2019-04-01,2.1454,2.1454,2018-09-04,1,0.00%,,0.00%,0,0.00%
16,005763,中欧电子信息产业沪港深股票C,ZODZXXCYHGSGPC,32.5601,,0,2018-04-23,1.0949,1.0949,2019-04-01,1.4514,1.4514,2018-04-23,1,0.00%,,,,
17,006347,安信量化优选股票C,AXLHYXGPC,32.56,,0,2018-09-03,1,1,2019-04-01,1.3256,1.3256,2018-09-03,1,0.00%,,,,
